VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount

1,2018-04-01 00:22:20,2018-04-01 00:22:26,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-04-01 00:47:37,2018-04-01 01:08:42,1,6.70,1,N,152,90,2,22.5,0.5,0.5,0,0,0.3,23.8
1,2018-04-01 00:02:13,2018-04-01 00:17:52,2,4.10,1,N,239,158,1,15.5,0.5,0.5,3.35,0,0.3,20.15
1,2018-04-01 00:46:49,2018-04-01 00:52:05,1,.70,1,N,90,249,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018-04-01 00:19:04,2018-04-01 00:19:09,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-04-01 00:01:40,2018-04-01 00:14:21,1,2.50,1,N,226,83,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2018-04-01 00:57:02,2018-04-01 01:04:57,1,1.80,1,N,95,135,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-04-01 00:19:43,2018-04-01 00:24:46,1,.90,1,N,238,142,1,5.5,0.5,0.5,1.02,0,0.3,7.82
1,2018-04-01 00:29:23,2018-04-01 00:38:17,1,1.60,1,N,239,262,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-04-01 00:00:16,2018-04-01 00:04:26,1,1.10,1,N,79,137,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-04-01 00:15:23,2018-04-01 00:18:45,1,.80,1,N,162,233,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-04-01 00:35:08,2018-04-01 00:41:04,1,1.00,1,N,164,161,1,6,0.5,0.5,0,0,0.3,7.3
1,2018-04-01 00:43:25,2018-04-01 00:59:29,1,3.50,1,N,230,144,1,14,0.5,0.5,3.8,0,0.3,19.1
1,2018-04-01 00:05:26,2018-04-01 00:23:04,1,5.60,1,N,43,74,2,18,0.5,0.5,0,0,0.3,19.3
1,2018-04-01 00:38:00,2018-04-01 00:40:10,1,.70,1,N,263,237,1,4,0.5,0.5,1.05,0,0.3,6.35
1,2018-04-01 00:35:58,2018-04-01 00:45:14,2,1.60,1,N,87,125,1,8.5,0.5,0.5,2,0,0.3,11.8
1,2018-04-01 00:49:23,2018-04-01 01:25:34,3,8.70,1,N,249,226,1,30,0.5,0.5,6.25,0,0.3,37.55
1,2018-04-01 00:04:41,2018-04-01 00:20:43,4,3.50,1,N,211,33,1,14,0.5,0.5,2,0,0.3,17.3
2,2018-04-01 00:30:02,2018-04-01 00:42:36,6,2.26,1,N,234,231,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2018-04-01 00:45:49,2018-04-01 00:51:59,5,.68,1,N,231,125,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2018-04-01 00:06:40,2018-04-01 00:29:47,2,5.60,1,N,170,37,3,21.5,0.5,0.5,0,0,0.3,22.8
2,2018-04-01 00:09:58,2018-04-01 00:16:50,1,1.64,1,N,166,152,1,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-04-01 00:19:46,2018-04-01 00:24:43,3,.86,1,N,116,244,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018-04-01 00:03:54,2018-04-01 00:06:14,1,.75,1,N,140,262,2,4,0.5,0.5,0,0,0.3,5.3
2,2018-04-01 00:31:51,2018-04-01 00:41:06,1,2.54,1,N,263,162,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2018-04-01 00:42:33,2018-04-01 00:53:17,1,2.13,1,N,162,79,1,9.5,0.5,0.5,2.7,0,0.3,13.5
